id,iso,month,date,productCode,supplierId,brand,description,cluster,qty,unit,unitPriceEUR,valueEUR,currency,valueLocal,source,matched,route
TXN-000001,AT,2026-01,2026-01-26,WLF-1001,sup-aster,3M,Graduated mixing cup,lack,231,piece,20.75,4793.25,EUR,4793.25,synthetic-spend-AT.csv,True,indirect
TXN-000002,AT,2026-02,2026-02-01,WLF-1001,sup-aster,3M,Graduated mixing cup,lack,55,piece,20.75,1141.25,EUR,1141.25,synthetic-spend-AT.csv,True,indirect
TXN-000003,AT,2026-03,2026-03-10,WLF-1001,sup-aster,3M,Graduated mixing cup,lack,321,piece,20.75,6660.75,EUR,6660.75,synthetic-spend-AT.csv,True,indirect
TXN-000004,AT,2026-04,2026-04-28,WLF-1001,sup-aster,3M,Graduated mixing cup,lack,212,piece,20.75,4399.0,EUR,4399.0,synthetic-spend-AT.csv,True,indirect
TXN-000005,AT,2026-05,2026-05-03,WLF-1001,sup-aster,3M,Graduated mixing cup,lack,52,piece,20.75,1079.0,EUR,1079.0,synthetic-spend-AT.csv,True,indirect
TXN-000006,AT,2026-06,2026-06-25,WLF-1001,sup-aster,3M,Graduated mixing cup,lack,193,piece,20.75,4004.75,EUR,4004.75,synthetic-spend-AT.csv,True,indirect
TXN-000007,AT,2026-07,2026-07-21,WLF-1001,sup-aster,3M,Graduated mixing cup,lack,88,piece,20.75,1826.0,EUR,1826.0,synthetic-spend-AT.csv,True,indirect
TXN-000008,AT,2026-08,2026-08-01,WLF-1001,sup-aster,3M,Graduated mixing cup,lack,114,piece,20.75,2365.5,EUR,2365.5,synthetic-spend-AT.csv,True,indirect
TXN-000009,AT,2026-01,2026-01-15,WLF-1002,sup-velora,Glasurit (BASF),"Sanding discs 150 mm, coarse",schleif,229,piece,67.76,15517.04,EUR,15517.04,synthetic-spend-AT.csv,True,direct
TXN-000010,AT,2026-02,2026-02-18,WLF-1002,sup-velora,Glasurit (BASF),"Sanding discs 150 mm, coarse",schleif,212,piece,67.76,14365.12,EUR,14365.12,synthetic-spend-AT.csv,True,direct
TXN-000011,AT,2026-03,2026-03-12,WLF-1002,sup-velora,Glasurit (BASF),"Sanding discs 150 mm, coarse",schleif,75,piece,67.76,5082.0,EUR,5082.0,synthetic-spend-AT.csv,True,direct
TXN-000012,AT,2026-04,2026-04-24,WLF-1002,sup-velora,Glasurit (BASF),"Sanding discs 150 mm, coarse",schleif,205,piece,67.76,13890.8,EUR,13890.8,synthetic-spend-AT.csv,True,direct
